UserId,HackathonExperience,CodingExperience,CommunicationExperience,OrganizationExperience,DocumentationExperience,BusinessExperience,CreativityExperience,Major,SchoolYear
7c2d5e20-bf91-49c9-bf6e-95209a7d9230,4,3,1,3,1,1,2,general_business,first_year
e8e28106-81e7-44b0-b859-b2a21241813b,4,0,1,1,1,1,1,electrical_engineering,third_year
f2a9c0bd-37ba-40ab-920a-af0db55e9dfc,4,2,2,2,2,1,2,computer_science,phd_student
0178a1a9-31be-43e7-861e-716d101de441,3,1,3,2,1,2,1,general_business,second_year
d6a07885-b5e1-452f-ba73-266fe8206193,3,2,1,2,3,1,0,mechanical_engineering,fifth_year
fe214e90-e50b-4591-bf7b-2d5771386b5e,5,3,0,4,4,2,0,architecure,first_year
fd2ff9f9-de95-4046-81ea-1f63e2eb47b4,5,4,0,1,1,0,1,general_business,fourth_year
f8977351-c13a-40a8-8ae1-d9fd469a9542,5,3,2,1,1,0,1,computer_science,third_year
f2790f9f-7057-46e2-832c-f49f4287b015,1,3,2,2,2,1,0,fashion_design_and_production,graduate_student
1a173a94-14b8-4a65-8cfc-d7daa6a7c297,4,3,1,2,0,1,1,aerospace_engineering,first_year
66d4713a-6b11-4e02-98e1-f78508e58946,0,4,1,2,4,1,2,chemical_engineering,third_year
54eaddb8-cdc8-4297-bf7f-ee839935ee94,1,5,2,2,1,2,1,computer_science,six_plus_years
5ff64cac-4439-486f-b25d-1e8e5390ae90,0,5,0,2,2,1,1,computer_science,second_year
93b2a54a-4a68-414e-8b22-11b3514bdc30,0,3,3,2,4,1,1,biology,fourth_year
75efa481-374e-4ba3-bc2b-8765f4546d8b,1,5,1,1,2,2,1,biology,third_year
f4f34253-9b44-424b-a539-dd24d28839db,4,4,2,1,5,1,4,electrical_engineering,fifth_year
2b27d5bc-297b-4aea-8a91-f6e082c8d8fa,1,3,1,3,2,2,2,computer_science,third_year
25520da0-f600-4b58-a628-2479d3577a40,1,5,2,1,1,0,5,computer_science,first_year
5194adde-5740-4dba-8ad0-ec2c84b12446,1,3,2,0,2,2,1,computer_science,second_year
fca8cf68-78a1-4558-af0c-31d5d96504e4,1,4,1,2,4,1,1,mechanical_engineering,graduate_student
